"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/25/1999","AQS","060011001","1","6.9","ug/m3 LC","29","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"03/28/1999","AQS","060011001","1","9.2","ug/m3 LC","38","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"03/31/1999","AQS","060011001","1","6.4","ug/m3 LC","27","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"04/06/1999","AQS","060011001","1","6.9","ug/m3 LC","29","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"04/12/1999","AQS","060011001","1","9.8","ug/m3 LC","41","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"04/18/1999","AQS","060011001","1","12.5","ug/m3 LC","52","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"04/24/1999","AQS","060011001","1","13.5","ug/m3 LC","54","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"04/30/1999","AQS","060011001","1","21.2","ug/m3 LC","70","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"05/06/1999","AQS","060011001","1","7.8","ug/m3 LC","33","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"05/12/1999","AQS","060011001","1","7.5","ug/m3 LC","31","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"05/18/1999","AQS","060011001","1","5.8","ug/m3 LC","24","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"05/24/1999","AQS","060011001","1","8.3","ug/m3 LC","35","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"06/11/1999","AQS","060011001","1","6.6","ug/m3 LC","28","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"06/17/1999","AQS","060011001","1","7.8","ug/m3 LC","33","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"06/23/1999","AQS","060011001","1","10.8","ug/m3 LC","45","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"06/29/1999","AQS","060011001","1","16.2","ug/m3 LC","60","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"07/05/1999","AQS","060011001","1","13.8","ug/m3 LC","55","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"07/11/1999","AQS","060011001","1","18.9","ug/m3 LC","65","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"07/17/1999","AQS","060011001","1","8.1","ug/m3 LC","34","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"07/23/1999","AQS","060011001","1","6.5","ug/m3 LC","27","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"07/29/1999","AQS","060011001","1","5.5","ug/m3 LC","23","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"08/04/1999","AQS","060011001","1","5.2","ug/m3 LC","22","Fremont - Chapel Way","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
